40000 B.C.  	Cro-Magnon man (homo sapiens) is active in Europe and the Middle East.
41        	Caligula is assassinated; Claudius becomes emperor of Rome.
43        	The Romans invade Britain.
43        	The city of Londinium (London) is founded.
45        	St. Paul begins his Christian missionary travels.
45        	The Epistle of James is begun about this time.
46        	Thrace becomes a Roman province.
48        	Gallic nobles are admitted to the Roman Senate.
50        	Cologne is founded about this time in present day Germany.
50        	The expansion of the kingdom of Aksum begins in present day Ethiopia.
50        	The first Roman colony in Britain is founded at Colchester.
54        	Claudius is murdered; Nero becomes emperor of Rome.
57        	St. Paul writes his Epistles to the Corinthians.
60        	Boadicea, queen of the Iceni tribe, rebels against Roman rule in Britain
62        	St. James (the brother of Jesus Christ) is stoned to death.
64        	Rome is devastated by fire; the Christians are blamed and persecuted.
64        	The Kushans sack the city of Taxila in present day Pakistan.
65        	Roman philosopher Seneca commits suicide.
65        	Writing of The Gospel According to Mark is begun.
66        	A Jewish revolt against Roman rule begins in Judea.
66        	Roman writer Petronius Arbiter, the reputed author of the Satyricon, dies.
67        	St. Peter and St. Paul are martyred in Rome.
68        	Buddhism is introduced into China.
68        	Roman emperor Nero commits suicide.
69        	Vespasian becomes emperor of Rome and founds the Flavian dynasty.
70        	Roman general Titus suppresses a Jewish revolt and captures Jerusalem.
70        	The Herod dynasty ends in Judea.
70        	Writing of the Acts of the Apostles begins.
73        	The Romans conquer Masada, the last Jewish stronghold.
75        	Josephus begins his history of the Jewish War.
77        	Pliny the Elder writes his Historia naturalis.
78        	Roman general Agricola becomes governor of Britain.
79        	Mount Vesuvius erupts, burying the Roman city of Pompeii.
80        	The Gospel According to Luke and The Gospel According to Matthew are begun.
80        	The building of the Colosseum is completed in Rome.
81        	The Arch of Titus is erected in Rome.
81        	Titus dies; he is succeeded by Domitian as emperor of Rome.
92        	St. Clement becomes Bishop of Rome.
97        	St. Timothy is martyred at Ephesus.
98        	Nerva dies; he is succeeded by Trajan as emperor of Rome.
100       	Teotihuacan in central Mexico has a population of 50,000.
100       	The compilation of the Kamasutra is begun in India.
100       	The earliest Chinese dictionary the Shuo Wen is compiled about this time.
105       	Paper is invented in China.
106       	The city of Petra is conquered by the Roman emperor Trajan.
113       	Emperor Trajan's column is built to glorify his military victories.
115       	Greek writer Lucian's The True History describes a fantasy trip to the moon.
117       	The Roman Empire is at the height of its territorial power.
117       	Trajan dies; he is succeeded by Hadrian as emperor of Rome.
118       	Construction of the Pantheon begins in Rome.
122       	Construction of Hadrian's Wall is begun to protect Britain from northern tribes.
130       	The Taoist religion is accepted in China.
132       	The Jewish Bar Kochba revolt begins against the Romans.
135       	Suppression of the Jewish revolt leads to the diaspora (dispersion) of the Jews.
150       	Apuleius, author of the Latin tale The Golden Ass, dies.
150       	Greek astronomer Ptolemy writes his Almagest and Geography.
150       	The Niger region is dominated by Berber and Mandingo tribes.
150       	The earliest surviving Sanskrit inscriptions are made in India.
161       	Marcus Aurelius, author of the Meditations, becomes emperor of Rome.
170       	Pausanias writes his Description of Greece, a contemporary guide book.
170       	Persecution of the Christians increases in Rome.
180       	Bronze equestrian statue of Marcus Aurelius is completed in Rome.
189       	The reign of the last Han Emperor Hsien-Ti begins.
190       	Alexandrian surgeon Galen compiles his writings on medical treatments.
190       	The abacus is used for numerical calculation in China.
196       	Roman emperor Septimius Severus sacks the city of Byzantium (Istanbul).
200       	Buddhism is established as a vital force in China.
200       	Carthage in North Africa becomes a world metropolis under Roman rule
201       	Empress Jingo reigns as regent in Japan.
206       	The building of the Baths of Caracalla is begun in Rome by Septimius Severus.
212       	Emperor Caracalla grants citizenship to all freemen of the empire.
220       	The Goths invade Asia Minor and the Balkan Peninsula.
220       	The Han dynasty ends in China.
224       	Sassanians under Ardashir defeat the Arascid dynasty in Persia.
250       	Diophantus of Alexandria writes the first book on algebra.
250       	Emperor Decius persecutes the Christians and makes emperor-worship compulsory.
250       	The Classical period of the Maya begins in Mesoamerica.
250       	The Kingdom of Aksum gains control of the Red Sea trade.
254       	Plotinus the founder of neoplatonism begins writing his discourses.
257       	The Franks invade Spain.
257       	The Visigoths and Ostrogoths invade the Black Sea region.
260       	Persians under Shapur I defeat the Roman army and capture Emperor Valerian.
265       	The reign of the first Chin dynasty begins in China.
268       	The Goths attack Athens, Sparta, and Corinth.
269       	Egypt is occupied by Zenobia, queen of Palmyra; the library at Alexandria is burnt.
270       	The first compass is used in China about this time.
276       	Mani, founder of Manichean sect, is crucified in Persia.
284       	Emperor Diocletian bans alchemical books.
285       	Confucianism is introduced into Japan.
286       	Diocletian rules the eastern Roman Empire; Maximian rules the western empire.
286       	Saint Maurice and the Theban legion are massacred by Emperor Maximian.
295       	Diocletian's Palace is built on the Dalmatian coast of Yugoslavia.
297       	Rome recaptures Armenia and Mesopotamia.
300       	St. Anthony forms Christian hermit communities in the Egyptian desert.
305       	Roman emperor Diocletian abdicates in the East; Maximian abdicates in the West
306       	Constantine becomes Emperor of the West.
311       	The final persecution of the Christians begins in Rome.
312       	Emperor Constantine is converted to Christianity.
312       	The Edict of Toleration at Milan legalizes Christianity.
313       	The Koguryo Kingdom expels the Chinese from Korea.
316       	The Huns (Hsuiung-nu) invade northern China.
320       	Chandragupta I founds the Gupta dynasty in northern India.
324       	Constantine defeats Licinius, the former Emperor of the East, at Adrianople (now Edirne).
325       	The council of bishops at Nicaea decide that God and Christ are one.
330       	St. Peter's Church in Rome is designed for Christian worship.
330       	The Roman capital moves to Constantinople (now Instanbul); the Byzantine Empire begins.
350       	A school of church song (Schola Cantorum) is founded in Rome.
350       	Aksum destroys the kingdom of Meroe.
350       	The Huns invade Persia and India.
350       	The Persians regain Armenia from Rome.
360       	The Japanese invade Korea.
360       	The Picts and Scots cross Hadrian's Wall and attack Roman Britain.
360       	Vellum books begin to replace scrolls.
364       	Valentinian becomes Emperor of the West; Valens becomes Emperor of the East.
370       	The Huns appear in Europe for the first time.
370       	Theodosius drives the Picts and Scots out of Britain.
372       	Buddhism is introduced into Korea.
376       	The Huns invade Russia.
378       	Emperor Valens is killed by the Visigoths at the Battle of Adrianople (now Edirne).
378       	St. Ursus builds a cathedral at Ravenna.
380       	Chandragupta II heads the Gupta Empire.
383       	The Roman army begins the evacuation of Britain.
386       	Hymn singing is introduced by Ambrose, Bishop of Milan.
386       	St. Augustine converts to Christianity.
395       	Theodosius dies; the Roman Empire is permanently divided into East and West.
396       	Alaric king of the Visigoths plunders Athens
401       	Pope Innocent I claims universal power over the Roman church.
401       	The Visigoths invade Italy.
406       	The Vandals invade Gaul; Roman legions are withdrawn from Britain.
407       	The first Mongol empire is founded by the Avars.
409       	The Vandals invade Spain.
410       	Alchemists begin to search for the Philosopher's Stone.
410       	The Visigoths under Alaric destroy Rome.
411       	St. Augustine writes The City of God.
425       	Constantinople University is founded.
425       	Vandals, Ostrogoths and Visigoths settle in former Roman provinces.
429       	Vandals under Gaiseric establish a kingdom in North Africa.
432       	St. Patrick's Christian mission reaches Ireland.
433       	Attila becomes the ruler of the Huns.
439       	The Vandals capture Carthage.
449       	Jutes, Angles, and Saxons begin the conquest of Britain.
450       	The Basket Maker III period of the Anasazi culture begins in North America.
451       	Attila the Hun invades Gaul but is repulsed at the Battle of Chalons.
452       	Attila the Hun invades Italy.
452       	Venice is founded by refugees from the Huns.
455       	Skandagupta defeats a Hun invasion and becomes emperor of India.
455       	The Vandals under Gaiseric sack Rome.
470       	Mayan urban civilization flourishes in southern Mexico.
470       	The Huns withdraw from Europe.
471       	Theodoric the Great becomes king of the Ostrogoths.
476       	Germanic king Odoacer occupies Rome, ending the Roman Empire of the West.
478       	The first Shinto shrines are built in Japan.
480       	The Gupta Empire begins to decline after an invasion by White Huns.
486       	Frankish king Clovis defeats the Romans in Gaul and founds the Merovingian dynasty.
493       	Frankish king Clovis becomes the first barbarian ruler to be baptized.
493       	Theodoric King of the Ostrogoths becomes ruler of all Italy
500       	Modern forms of harness for draft animals appear in China about this time.
500       	The Lex Salica Germanic law is composed.
500       	The colonial period of the Hohokam culture begins in North America about this time.
501       	Gundobad king of the Burgundians establishes judicial duel or trial by combat.
507       	The Franks conquer the Visigoths; Alaric II is killed by Clovis.
511       	Clovis king of the Franks dies; his kingdom is divided among his four sons.
520       	King Arthur is said to have organized the Celtic defence against Saxon invaders.
523       	Hilderic becomes the Vandal king of North Africa.
523       	Roman scholar Boethius writes On the Consolation of Philosophy.
525       	Theodora marries Justinian, the future Byzantine Emperor.
526       	Theodoric, king of the Ostrogoths and ruler of Italy, dies.
527       	Justinian becomes emperor of Byzantium.
529       	St. Benedict founds the Benedictine order and builds an abbey at Monte Cassino, Italy.
531       	Khosru I becomes king of Persia; the Sassanian Empire is at its greatest extent.
534       	Byzantine general Belisarius reconquers North Africa.
534       	Roman Law is codified under Justinian as the Body of Civil Law.
535       	A 12-story pagoda is built in China.
537       	The church of Hagia Sophia is completed in Constantinople (Istanbul).
538       	Buddhism is introduced into Japan from Korea.
541       	A Bubonic Plague ravages Europe.
547       	The Byzantine church of San Vitale is built at Ravenna in Italy.
550       	The crucifix develops as an ornament about this time.
552       	Persian monks smuggle Chinese silkworms into Constantinople (Istanbul).
553       	Justinian reconquers Italy from the Ostrogoths.
560       	The Mediterranean seaboard falls under Byzantine control.
562       	The Silla kingdom expels the Japanese from Korea.
563       	St. Columba establishes an Irish monastery on the island of Iona.
565       	The first recorded sighting of the legendary Loch Ness monster is made in Scotland.
568       	The Lombards invade northern Italy.
570       	The prophet Muhammad is born at Mecca.
572       	War begins between Persia and Byzantium.
581       	Wen Ti founds the Sui dynasty and reunites China.
586       	The earliest known depiction of Christ on the cross is made.
589       	The Visigoths in Spain are converted to Christianity.
590       	Gregory I becomes the first monk to be elected as Pope.
594       	The plague that began in 541 ends, after halving the population of Europe.
597       	St. Augustine begins his Christian mission to England at Canterbury.
600       	A Mayan center is established at Bonampak in Mexico about this time.
600       	Irish missionaries work in Scotland and Germany.
600       	Pope Gregory I supervises the compiling of plainsong (Gregorian chants).
600       	Smallpox spreads from India to Europe.
600       	The Anglo-Saxons are dominant in Britain; romanized Britons survive in the west.
600       	The city of Huari is established in central Peru about this time.
600       	The game of chess is invented in India about this time.
600       	The kettledrum originates in the Near East about this time.
600       	Windmills are in use in Persia for irrigation.
607       	The first Buddhist temple is built at Nara in Japan.
610       	Muhammad, the founder of Islam, receives his first prophetic message.
614       	Persian armies overrun Asia Minor and capture Jerusalem.
618       	The T'ang dynasty in China establishes an imperial bureaucracy.
619       	The Persians conquer Egypt
620       	Lyric poetry of the T'ang dynasty promotes the use of the Chinese language.
622       	The Muslim era begins with the flight of Muhammad from Mecca to Medina.
627       	The Byzantines under Heraclius defeat the Persians at Nineveh.
